iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,lightgbm.LGBMClassifier,accuracy,0.7214285714285714,0.2785714285714286,0.03499271061118827,0.25,0.32142857142857145,5.683069923999938,ok,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.5799928601208635, 'learning_rate': 0.25820702258060835, 'max_depth': 11, 'min_child_samples': 173, 'n_estimators': 3472, 'num_leaves': 61, 'reg_alpha': 0.8608511125925871, 'reg_lambda': 0.19320990887366318, 'subsample_for_bin': 188740, 'n_jobs': 5, 'random_state': 0}"
2,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,4.278872223000008,ok,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.679691527358039, 'learning_rate': 0.020041378260734655, 'max_depth': 2, 'min_child_samples': 495, 'n_estimators': 6290, 'num_leaves': 77, 'reg_alpha': 1.0200385746354972, 'reg_lambda': 0.29646458089531447, 'subsample_for_bin': 134511, 'n_jobs': 5, 'random_state': 0}"
3,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,7.398400282000011,ok,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.841218155549403, 'learning_rate': 0.2405433734470074, 'max_depth': 15, 'min_child_samples': 146, 'n_estimators': 5305, 'num_leaves': 140, 'reg_alpha': 0.009096133568199938, 'reg_lambda': 0.8363421563014494, 'subsample_for_bin': 228518, 'n_jobs': 5, 'random_state': 0}"
4,lightgbm.LGBMClassifier,accuracy,0.7214285714285714,0.2785714285714286,0.03499271061118827,0.25,0.32142857142857145,4.044144234999976,ok,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.6335025399814118, 'learning_rate': 0.06667849852073249, 'max_depth': 13, 'min_child_samples': 60, 'n_estimators': 3942, 'num_leaves': 107, 'reg_alpha': 1.4801234264222862, 'reg_lambda': 0.05368896862439787, 'subsample_for_bin': 156947, 'n_jobs': 5, 'random_state': 0}"
5,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,7.837663567999925,ok,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.9205217746444283, 'learning_rate': 0.10594200998138407, 'max_depth': 17, 'min_child_samples': 440, 'n_estimators': 9164, 'num_leaves': 18, 'reg_alpha': 0.8236322631215818, 'reg_lambda': 0.5601409634263848, 'subsample_for_bin': 43895, 'n_jobs': 5, 'random_state': 0}"
6,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,4.637193883999998,ok,"{'boosting_type': 'gbdt', 'class_weight': None, 'colsample_bytree': 0.7803278924720021, 'learning_rate': 0.010816950303179106, 'max_depth': 17, 'min_child_samples': 265, 'n_estimators': 6529, 'num_leaves': 56, 'reg_alpha': 0.49054620717006747, 'reg_lambda': 0.8014467153128186, 'subsample_for_bin': 77950, 'n_jobs': 5, 'random_state': 0}"
7,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,4.0361274850000655,ok,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6067116905221752, 'learning_rate': 0.05624791771193991, 'max_depth': 9, 'min_child_samples': 473, 'n_estimators': 7210, 'num_leaves': 52, 'reg_alpha': 1.2247880859353637, 'reg_lambda': 0.43989649195782476, 'subsample_for_bin': 158028, 'n_jobs': 5, 'random_state': 0}"
8,lightgbm.LGBMClassifier,accuracy,0.7214285714285714,0.2785714285714286,0.03499271061118827,0.25,0.32142857142857145,7.098637058000008,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9494644305726602, 'learning_rate': 0.21017032202889438, 'max_depth': 11, 'min_child_samples': 460, 'n_estimators': 7177, 'num_leaves': 90, 'reg_alpha': 0.31739244523194005, 'reg_lambda': 0.2452556890292623, 'subsample_for_bin': 300885, 'n_jobs': 5, 'random_state': 0}"
9,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,3.6299555970000483,ok,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.8718728992381735, 'learning_rate': 0.23660260808968187, 'max_depth': 7, 'min_child_samples': 413, 'n_estimators': 215, 'num_leaves': 46, 'reg_alpha': 0.5785076806680455, 'reg_lambda': 0.9676909157242013, 'subsample_for_bin': 314334, 'n_jobs': 5, 'random_state': 0}"
10,lightgbm.LGBMClassifier,accuracy,0.6071428571428572,0.39285714285714285,0.08144110179279557,0.25,0.5,4.712686266999981,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5715351371732976, 'learning_rate': 0.166725202229686, 'max_depth': 18, 'min_child_samples': 441, 'n_estimators': 3416, 'num_leaves': 71, 'reg_alpha': 1.1795329868063074, 'reg_lambda': 0.7427126961748449, 'subsample_for_bin': 314649, 'n_jobs': 5, 'random_state': 0}"
