index,estimator,training score,validation score,scoring,features dropped
0,SVC,1.0,0.9785714285714286,accuracy,0
1,SVC,1.0,0.9785714285714286,accuracy,1
2,SVC,1.0,0.9785714285714286,accuracy,2
3,SVC,1.0,0.9785714285714286,accuracy,3
4,SVC,1.0,0.9785714285714286,accuracy,4
5,SVC,1.0,0.9785714285714286,accuracy,5
6,SVC,1.0,0.9785714285714286,accuracy,6
7,SVC,1.0,0.9785714285714286,accuracy,7
8,SVC,1.0,0.9785714285714286,accuracy,8
9,SVC,1.0,0.9785714285714286,accuracy,9
10,SVC,1.0,0.9785714285714286,accuracy,10
11,SVC,1.0,0.9785714285714286,accuracy,11
12,SVC,1.0,0.9785714285714286,accuracy,12
13,SVC,1.0,0.9785714285714286,accuracy,13
14,SVC,1.0,0.9785714285714286,accuracy,14
15,SVC,1.0,0.9785714285714286,accuracy,15
16,SVC,1.0,0.9785714285714286,accuracy,16
17,SVC,1.0,0.9785714285714286,accuracy,17
18,SVC,1.0,0.9785714285714286,accuracy,18
19,SVC,1.0,0.9785714285714286,accuracy,19
20,SVC,1.0,0.9785714285714286,accuracy,20
21,SVC,1.0,0.9785714285714286,accuracy,21
22,SVC,1.0,0.9785714285714286,accuracy,22
23,SVC,1.0,0.9785714285714286,accuracy,23
24,SVC,1.0,0.9785714285714286,accuracy,24
25,SVC,1.0,0.9785714285714286,accuracy,25
26,SVC,1.0,0.9785714285714286,accuracy,26
27,SVC,1.0,0.9785714285714286,accuracy,27
28,SVC,1.0,0.9785714285714286,accuracy,28
29,SVC,1.0,0.9785714285714286,accuracy,29
30,SVC,1.0,0.9785714285714286,accuracy,30
31,SVC,1.0,0.9785714285714286,accuracy,31
32,SVC,1.0,0.9785714285714286,accuracy,32
33,SVC,1.0,0.9785714285714286,accuracy,33
34,SVC,1.0,0.9785714285714286,accuracy,34
35,SVC,1.0,0.9785714285714286,accuracy,35
36,SVC,1.0,0.9785714285714286,accuracy,36
37,SVC,1.0,0.9785714285714286,accuracy,37
38,SVC,1.0,0.9785714285714286,accuracy,38
39,SVC,1.0,0.9785714285714286,accuracy,39
40,SVC,1.0,0.9785714285714286,accuracy,40
41,SVC,1.0,0.9785714285714286,accuracy,41
42,SVC,1.0,0.9785714285714286,accuracy,42
43,SVC,1.0,0.9785714285714286,accuracy,43
44,SVC,1.0,0.9785714285714286,accuracy,44
45,SVC,1.0,0.9785714285714286,accuracy,45
46,SVC,1.0,0.9785714285714286,accuracy,46
47,SVC,1.0,0.9785714285714286,accuracy,47
48,SVC,1.0,0.9785714285714286,accuracy,48
49,SVC,1.0,0.9785714285714286,accuracy,49
50,SVC,1.0,0.9785714285714286,accuracy,50
51,SVC,1.0,0.9785714285714286,accuracy,51
52,SVC,1.0,0.9785714285714286,accuracy,52
53,SVC,1.0,0.9785714285714286,accuracy,53
54,SVC,1.0,0.9785714285714286,accuracy,54
55,SVC,1.0,0.9785714285714286,accuracy,55
56,SVC,1.0,0.9785714285714286,accuracy,56
57,SVC,1.0,0.9785714285714286,accuracy,57
58,SVC,1.0,0.9785714285714286,accuracy,58
59,SVC,1.0,0.9785714285714286,accuracy,59
60,SVC,1.0,0.9785714285714286,accuracy,60
61,SVC,1.0,0.9785714285714286,accuracy,61
62,SVC,1.0,0.9785714285714286,accuracy,62
63,SVC,1.0,0.9785714285714286,accuracy,63
64,SVC,1.0,0.9785714285714286,accuracy,64
65,SVC,1.0,0.9785714285714286,accuracy,65
66,SVC,1.0,0.9785714285714286,accuracy,66
67,SVC,1.0,0.9785714285714286,accuracy,67
68,SVC,1.0,0.9785714285714286,accuracy,68
69,SVC,1.0,0.9785714285714286,accuracy,69
70,SVC,1.0,0.9785714285714286,accuracy,70
71,SVC,1.0,0.9785714285714286,accuracy,71
72,SVC,1.0,0.9785714285714286,accuracy,72
73,SVC,1.0,0.9785714285714286,accuracy,73
74,SVC,1.0,0.9785714285714286,accuracy,74
75,SVC,1.0,0.9785714285714286,accuracy,75
76,SVC,1.0,0.9785714285714286,accuracy,76
77,SVC,1.0,0.9785714285714286,accuracy,77
78,SVC,1.0,0.9785714285714286,accuracy,78
79,SVC,1.0,0.9785714285714286,accuracy,79
80,SVC,1.0,0.9785714285714286,accuracy,80
81,SVC,1.0,0.9785714285714286,accuracy,81
82,SVC,1.0,0.9785714285714286,accuracy,82
83,SVC,1.0,0.9785714285714286,accuracy,83
84,SVC,1.0,0.9785714285714286,accuracy,84
85,SVC,1.0,0.9785714285714286,accuracy,85
86,SVC,1.0,0.9785714285714286,accuracy,86
87,SVC,1.0,0.9785714285714286,accuracy,87
88,SVC,1.0,0.9785714285714286,accuracy,88
89,SVC,1.0,0.9785714285714286,accuracy,89
90,SVC,1.0,0.9785714285714286,accuracy,90
91,SVC,1.0,0.9785714285714286,accuracy,91
92,SVC,1.0,0.9785714285714286,accuracy,92
93,SVC,1.0,0.9785714285714286,accuracy,93
94,SVC,1.0,0.9785714285714286,accuracy,94
95,SVC,1.0,0.9785714285714286,accuracy,95
96,SVC,1.0,0.9785714285714286,accuracy,96
97,SVC,1.0,0.9785714285714286,accuracy,97
98,SVC,1.0,0.9785714285714286,accuracy,98
99,SVC,1.0,0.9785714285714286,accuracy,99
100,SVC,1.0,0.9785714285714286,accuracy,100
101,SVC,1.0,0.9785714285714286,accuracy,101
102,SVC,1.0,0.9785714285714286,accuracy,102
103,SVC,1.0,0.9785714285714286,accuracy,103
104,SVC,1.0,0.9785714285714286,accuracy,104
105,SVC,1.0,0.9785714285714286,accuracy,105
106,SVC,1.0,0.9785714285714286,accuracy,106
107,SVC,1.0,0.9785714285714286,accuracy,107
108,SVC,1.0,0.9785714285714286,accuracy,108
109,SVC,1.0,0.9785714285714286,accuracy,109
110,SVC,1.0,0.9785714285714286,accuracy,110
111,SVC,1.0,0.9785714285714286,accuracy,111
112,SVC,1.0,0.9785714285714286,accuracy,112
