index,estimator,training score,validation score,scoring,features dropped
0,LGBMClassifier,0.9895480225988699,0.8338983050847457,accuracy,0
1,LGBMClassifier,0.9895480225988699,0.8338983050847457,accuracy,1
2,LGBMClassifier,0.9895480225988699,0.8338983050847457,accuracy,2
3,LGBMClassifier,0.9895480225988699,0.8338983050847457,accuracy,3
4,LGBMClassifier,0.9889830508474576,0.8293785310734464,accuracy,4
5,LGBMClassifier,0.9889830508474576,0.8293785310734464,accuracy,5
6,LGBMClassifier,0.9889830508474576,0.8293785310734464,accuracy,6
7,LGBMClassifier,0.9889830508474576,0.8293785310734464,accuracy,7
8,LGBMClassifier,0.9892655367231639,0.8327683615819209,accuracy,8
9,LGBMClassifier,0.9895480225988701,0.8293785310734464,accuracy,9
10,LGBMClassifier,0.9892655367231639,0.8293785310734464,accuracy,10
11,LGBMClassifier,0.9887005649717515,0.8327683615819208,accuracy,11
12,LGBMClassifier,0.9892655367231639,0.8293785310734464,accuracy,12
13,LGBMClassifier,0.9892655367231639,0.8293785310734464,accuracy,13
14,LGBMClassifier,0.9892655367231639,0.8293785310734464,accuracy,14
15,LGBMClassifier,0.9892655367231639,0.8282485875706215,accuracy,15
16,LGBMClassifier,0.9895480225988701,0.8271186440677966,accuracy,16
17,LGBMClassifier,0.9895480225988701,0.8271186440677966,accuracy,17
18,LGBMClassifier,0.9895480225988701,0.8271186440677966,accuracy,18
19,LGBMClassifier,0.9878531073446327,0.8192090395480227,accuracy,19
20,LGBMClassifier,0.9878531073446327,0.8192090395480227,accuracy,20
21,LGBMClassifier,0.9878531073446327,0.8192090395480227,accuracy,21
22,LGBMClassifier,0.9872881355932204,0.8293785310734464,accuracy,22
23,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,23
24,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,24
25,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,25
26,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,26
27,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,27
28,LGBMClassifier,0.9858757062146892,0.8225988700564972,accuracy,28
29,LGBMClassifier,0.985310734463277,0.8214689265536723,accuracy,29
30,LGBMClassifier,0.9709039548022599,0.8282485875706215,accuracy,30
31,LGBMClassifier,0.9709039548022599,0.8282485875706215,accuracy,31
32,LGBMClassifier,0.9689265536723164,0.8237288135593219,accuracy,32
33,LGBMClassifier,0.9641242937853107,0.807909604519774,accuracy,33
34,LGBMClassifier,0.9655367231638419,0.8101694915254237,accuracy,34
35,LGBMClassifier,0.9652542372881356,0.807909604519774,accuracy,35
36,LGBMClassifier,0.9652542372881356,0.807909604519774,accuracy,36
37,LGBMClassifier,0.9638418079096045,0.8090395480225989,accuracy,37
38,LGBMClassifier,0.9209039548022598,0.7920903954802261,accuracy,38
39,LGBMClassifier,0.8751412429378531,0.7661016949152544,accuracy,39
40,LGBMClassifier,0.7940677966101695,0.7887005649717513,accuracy,40
41,LGBMClassifier,0.7841807909604519,0.784180790960452,accuracy,41
