iteration,estimator,scoring,loss,meanScore,stdScore,minScore,maxScore,trainTime,status,params
13,lightgbm.LGBMClassifier,accuracy,0.15522394788449834,0.8447760521155017,0.02469377584971704,0.7927927927927928,0.8818181818181818,9.431815776999997,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5269145626248908, 'learning_rate': 0.19508343341606835, 'max_depth': 4, 'min_child_samples': 105, 'n_estimators': 3730, 'num_leaves': 53, 'reg_alpha': 0.9443879936146742, 'reg_lambda': 0.07778531621696805, 'subsample': 0.8701684608119427, 'subsample_for_bin': 280000}"
14,lightgbm.LGBMClassifier,accuracy,0.1529925463411702,0.8470074536588298,0.02406790615135905,0.7927927927927928,0.8818181818181818,6.243767557000069,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.52179165003992, 'learning_rate': 0.21397349268569787, 'max_depth': 14, 'min_child_samples': 70, 'n_estimators': 1970, 'num_leaves': 49, 'reg_alpha': 0.7716591871097748, 'reg_lambda': 0.7758103901340799, 'subsample': 0.5871531276663073, 'subsample_for_bin': 260000}"
15,lightgbm.LGBMClassifier,accuracy,0.15415981035247095,0.845840189647529,0.019966618989818385,0.8108108108108109,0.8818181818181818,1.5113465359999054,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.4839613416124005, 'learning_rate': 0.24118846780362044, 'max_depth': 17, 'min_child_samples': 65, 'n_estimators': 710, 'num_leaves': 62, 'reg_alpha': 0.9049728399196031, 'reg_lambda': 0.9700077713390629, 'subsample': 0.5929331882766233, 'subsample_for_bin': 320000}"
16,lightgbm.LGBMClassifier,accuracy,0.15525466041521097,0.844745339584789,0.01584732852530222,0.8108108108108109,0.8623853211009175,9.177925828999946,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5170844985832787, 'learning_rate': 0.19467945061601624, 'max_depth': 19, 'min_child_samples': 80, 'n_estimators': 3120, 'num_leaves': 44, 'reg_alpha': 0.8965932613468538, 'reg_lambda': 0.3092342624831015, 'subsample': 0.6242661833417733, 'subsample_for_bin': 200000}"
17,lightgbm.LGBMClassifier,accuracy,0.1541080592686097,0.8458919407313903,0.022876801034687276,0.7927927927927928,0.8636363636363636,7.631222375999982,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.4836931286793152, 'learning_rate': 0.21862953166553284, 'max_depth': 14, 'min_child_samples': 85, 'n_estimators': 2850, 'num_leaves': 48, 'reg_alpha': 1.096390958887515, 'reg_lambda': 0.44373815672527617, 'subsample': 0.8761151348013744, 'subsample_for_bin': 320000}"
18,lightgbm.LGBMClassifier,accuracy,0.15641187476049856,0.8435881252395014,0.018594700675440896,0.8018018018018018,0.8636363636363636,2.0423097940000616,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.42529872891246634, 'learning_rate': 0.24409802606831524, 'max_depth': 9, 'min_child_samples': 80, 'n_estimators': 910, 'num_leaves': 34, 'reg_alpha': 0.8942921249955536, 'reg_lambda': 0.5520316444249792, 'subsample': 0.5446793141825025, 'subsample_for_bin': 100000}"
19,lightgbm.LGBMClassifier,accuracy,0.1496137922743428,0.8503862077256572,0.010417773575631471,0.8288288288288288,0.8636363636363636,10.244054151,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6697848925466119, 'learning_rate': 0.15595545082430481, 'max_depth': 4, 'min_child_samples': 90, 'n_estimators': 3820, 'num_leaves': 31, 'reg_alpha': 0.8031548535661845, 'reg_lambda': 0.9646432775894234, 'subsample': 0.5299093040147916, 'subsample_for_bin': 240000}"
20,lightgbm.LGBMClassifier,accuracy,0.151855994860582,0.848144005139418,0.01847093060375873,0.8198198198198198,0.8818181818181818,10.91167679099999,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5438107781340736, 'learning_rate': 0.2425194457720959, 'max_depth': 15, 'min_child_samples': 75, 'n_estimators': 3700, 'num_leaves': 40, 'reg_alpha': 1.190310130346154, 'reg_lambda': 0.10066987829692187, 'subsample': 0.5353233305116956, 'subsample_for_bin': 160000}"
21,lightgbm.LGBMClassifier,accuracy,0.155285936478597,0.844714063521403,0.022055339299774535,0.8018018018018018,0.8818181818181818,0.7750837290000163,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.5741389557136198, 'learning_rate': 0.16777462734778273, 'max_depth': 15, 'min_child_samples': 90, 'n_estimators': 530, 'num_leaves': 39, 'reg_alpha': 0.8019589091070065, 'reg_lambda': 0.9696019944976653, 'subsample': 0.6571228462326346, 'subsample_for_bin': 220000}"
22,lightgbm.LGBMClassifier,accuracy,0.15072986873445593,0.8492701312655441,0.019737400352558315,0.8288288288288288,0.8909090909090909,2.6078696639999634,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.6425401470672735, 'learning_rate': 0.23273307121035514, 'max_depth': 4, 'min_child_samples': 65, 'n_estimators': 1050, 'num_leaves': 38, 'reg_alpha': 1.1718121236443642, 'reg_lambda': 0.7557806401681576, 'subsample': 0.6894655906912094, 'subsample_for_bin': 180000}"
