,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age,1.800215688469102,0.18003135493268757,0.7610267331727454,0.045106555198922975,3,6,16,7,59,22,359,0.03127852820848693,0.015732569505481964,0.03206880769467363,0.06,0.013915077
Age*Fare,57.58788734755325,8.202956823903997e-14,2.5080924160434934,0.2474377069651379,1,1,5,3,1,8,534,0.04542898723358871,0.054030138313966775,0.03748840903859573,0.12,0.016254272
Age*Fare_binned_5,37.4118342625508,1.4352840524364585e-09,0.49632481087810015,0.2016106193836909,58,47,58,37,34,42,0,0.007530624649348253,5.829885741670771e-06,0.014166845992600142,0.0,0.0
Age*Fare_binned_5_catboost_encoded,51.78864320221873,1.3205351661065949e-12,0.5901703154681731,0.23537511914131692,6,31,37,32,32,13,122,0.01171956527098498,0.004041587612044193,0.012305093491095067,0.04,0.01807465
Age*Fare_binned_5_target_encoded,51.816030495366036,1.3032509860177043e-12,0.5892630869478005,0.2354338985838258,50,20,17,24,13,41,0,0.01501801826879019,0.009504129647313328,0.012820935428595708,0.0,0.0
Age*Fare_binned_5_woe_encoded,54.60036454753544,3.423346044882616e-13,0.5242407306902342,0.24131753886354698,14,14,10,19,27,6,68,0.015171808089672447,0.024418490708790885,0.012829910106232703,0.02,0.027953168
Age^2,0.30182066818221376,0.5828821778368816,1.0169181745013398,0.018485020021814694,49,9,13,9,2,39,0,0.03505231968010572,0.014885873590440456,0.030054517824585802,0.02,0.0
Age^2_binned_5,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,45,42,62,29,29,38,3,0.00863948900179023,0.0,0.009249092399024179,0.0,0.0
Age^2_binned_5_catboost_encoded,6.429995493853574,0.011392304593288678,0.287462289786098,0.0850255497130739,4,27,35,42,26,17,207,0.011032285775919012,0.004449663074560639,0.010285266389263801,0.0,0.01280413
Age^2_binned_5_target_encoded,6.440268047368554,0.011327095699467294,0.28752688443205193,0.08509294957608216,56,36,44,33,36,53,0,0.01005972589736395,0.0020325557774046477,0.010191001342958616,0.0,0.0
