iteration,estimator,scoring,loss,mean_score,std_score,min_score,max_score,train_time,status,params
1,LGBMClassifier,accuracy,0.21355932203389827,0.7864406779661017,0.02611123165715556,0.7457627118644068,0.8248587570621468,16.269846908999966,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.6397291095523583, 'learning_rate': 0.12197567494536023, 'max_depth': 7, 'min_child_samples': 176, 'n_estimators': 5606, 'num_leaves': 13, 'reg_alpha': 0.3742942031224138, 'reg_lambda': 0.6518898016017329, 'subsample_for_bin': 101746, 'n_jobs': 5, 'random_state': 0}"
2,LGBMClassifier,accuracy,0.16949152542372892,0.8305084745762711,0.024234588236753896,0.8022598870056498,0.8587570621468926,150.85037314,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7304138750812225, 'learning_rate': 0.18897728169937308, 'max_depth': 12, 'min_child_samples': 93, 'n_estimators': 6228, 'num_leaves': 63, 'reg_alpha': 0.4665106439944023, 'reg_lambda': 0.7228471498359047, 'subsample_for_bin': 249522, 'n_jobs': 5, 'random_state': 0}"
3,LGBMClassifier,accuracy,0.5322033898305085,0.46779661016949153,0.11847714919519192,0.3333333333333333,0.6440677966101694,2.064933824000036,ok,"{'boosting_type': 'gbdt', 'class_weight': 'balanced', 'colsample_bytree': 0.6931222323243207, 'learning_rate': 0.08437995572482472, 'max_depth': 14, 'min_child_samples': 442, 'n_estimators': 8651, 'num_leaves': 137, 'reg_alpha': 0.8083425096431311, 'reg_lambda': 0.2206337909221071, 'subsample_for_bin': 250479, 'n_jobs': 5, 'random_state': 0}"
4,LGBMClassifier,accuracy,0.3819209039548024,0.6180790960451976,0.033633618228558676,0.5706214689265536,0.6666666666666666,0.3712593800000832,ok,"{'boosting_type': 'goss', 'class_weight': None, 'colsample_bytree': 0.6068708461398409, 'learning_rate': 0.2966225428408781, 'max_depth': 9, 'min_child_samples': 449, 'n_estimators': 2933, 'num_leaves': 129, 'reg_alpha': 0.6377440122941922, 'reg_lambda': 0.7625457313372969, 'subsample_for_bin': 26513, 'n_jobs': 5, 'random_state': 0}"
5,LGBMClassifier,accuracy,0.16158192090395485,0.8384180790960452,0.02439212784737049,0.8135593220338984,0.8700564971751412,77.97361951900007,ok,"{'boosting_type': 'dart', 'class_weight': 'balanced', 'colsample_bytree': 0.8763195111975617, 'learning_rate': 0.05810749992064587, 'max_depth': 11, 'min_child_samples': 86, 'n_estimators': 5010, 'num_leaves': 146, 'reg_alpha': 0.8506686662329963, 'reg_lambda': 0.5767017049131986, 'subsample_for_bin': 293543, 'n_jobs': 5, 'random_state': 0}"
6,LGBMClassifier,accuracy,0.3706214689265537,0.6293785310734463,0.06785308382373978,0.4971751412429379,0.6836158192090396,4.982820886999889,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.7745561821345281, 'learning_rate': 0.20325844384516695, 'max_depth': 6, 'min_child_samples': 350, 'n_estimators': 4102, 'num_leaves': 38, 'reg_alpha': 1.4388216044286244, 'reg_lambda': 0.3369745963027454, 'subsample_for_bin': 81460, 'n_jobs': 5, 'random_state': 0}"
7,LGBMClassifier,accuracy,0.2180790960451977,0.7819209039548023,0.020401661113296946,0.7457627118644068,0.8022598870056498,6.543358762000025,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.5806997722595382, 'learning_rate': 0.06894948925043848, 'max_depth': 2, 'min_child_samples': 283, 'n_estimators': 5979, 'num_leaves': 37, 'reg_alpha': 0.5299871353956235, 'reg_lambda': 0.5194441012058696, 'subsample_for_bin': 151853, 'n_jobs': 5, 'random_state': 0}"
8,LGBMClassifier,accuracy,0.215819209039548,0.784180790960452,0.022990949095339903,0.7457627118644068,0.8135593220338984,1.0082679759998427,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.9384996450934486, 'learning_rate': 0.11012978193333035, 'max_depth': 5, 'min_child_samples': 268, 'n_estimators': 875, 'num_leaves': 95, 'reg_alpha': 0.033988715476397036, 'reg_lambda': 0.13235169875391362, 'subsample_for_bin': 281870, 'n_jobs': 5, 'random_state': 0}"
9,LGBMClassifier,accuracy,0.17175141242937852,0.8282485875706215,0.01735852146410984,0.7966101694915254,0.847457627118644,39.05594832200018,ok,"{'boosting_type': 'dart', 'class_weight': None, 'colsample_bytree': 0.7151774594403701, 'learning_rate': 0.19785753221141922, 'max_depth': 19, 'min_child_samples': 169, 'n_estimators': 3934, 'num_leaves': 67, 'reg_alpha': 0.13739932562023316, 'reg_lambda': 0.9776027044778185, 'subsample_for_bin': 366366, 'n_jobs': 5, 'random_state': 0}"
10,LGBMClassifier,accuracy,0.5322033898305085,0.46779661016949153,0.11847714919519192,0.3333333333333333,0.6440677966101694,1.0203653690000465,ok,"{'boosting_type': 'goss', 'class_weight': 'balanced', 'colsample_bytree': 0.5035768944620416, 'learning_rate': 0.13583303355292034, 'max_depth': 2, 'min_child_samples': 371, 'n_estimators': 9023, 'num_leaves': 47, 'reg_alpha': 1.0077752370272988, 'reg_lambda': 0.28623936026105, 'subsample_for_bin': 272542, 'n_jobs': 5, 'random_state': 0}"
