,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age,1.800215688469102,0.18003135493268757,0.7610267331727454,0.045106555198922975,3,22,24,20,40,11,607,0.02428470626104741,0.0057754372119929185,0.02280865102877033,0.02,0.018635016
Age*Fare,57.58788734755325,8.202956823903997e-14,2.5080924160434934,0.2474377069651379,1,6,13,9,13,9,720,0.036940869490774,0.03323200466735842,0.025381902766236898,0.08,0.021321256
Age*FareBoxCox,46.75443953543382,1.5009047676649685e-11,0.5901522856035853,0.22424733848962486,33,1,7,1,1,26,0,0.0396180025955354,0.026913817503097202,0.02527222467910851,0.08,0.0
Age*FareYeoJohnson,46.75443953543379,1.5009047676649685e-11,0.590152285603586,0.2242473384896249,32,4,3,4,12,25,0,0.040580738961848335,0.03179387339815862,0.023719288417927118,0.02,0.0
Age*Fare_5_bins,37.4118342625508,1.4352840524364585e-09,0.49632481087810015,0.2016106193836909,24,31,37,28,32,24,2,0.008950739175671758,0.001468131943118088,0.017672315180355537,0.0,0.0
AgeBoxCox,2.803504968618012,0.09441260564245844,0.7904523838062191,0.05625769936159903,30,20,16,15,6,23,0,0.024988327053129797,0.009040583965333108,0.021820689363034478,0.02,0.0
AgeYeoJohnson,2.753162611371766,0.09741736742752356,0.7860939777100938,0.05575188757045312,29,10,21,23,22,22,0,0.026175440056331947,0.007743909819649462,0.021913855324788217,0.02,0.0
Age^2,0.30182066818221376,0.5828821778368816,1.0169181745013398,0.018485020021814694,28,16,23,25,2,21,0,0.02613013161652617,0.012102862272301975,0.01985291885052396,0.06,0.0
Age^2BoxCox,2.8035050265564925,0.09441260224302105,0.7904523863160735,0.056257699941082144,36,13,10,10,27,30,0,0.023893987613893875,0.007177152859288665,0.0239399605823965,0.02,0.0
Age^2YeoJohnson,2.756640962482369,0.09720643512511329,0.786230038537171,0.05578698543883309,37,23,27,16,26,32,0,0.027134786850416072,0.010853006491471353,0.022238128500023706,0.02,0.0
Age^2_5_bins,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,21,30,34,30,41,40,7,0.0065650271127314,0.0010360749084427838,0.013946443320131731,0.0,0.0
Age_5_bins,0.4116669489372894,0.5212911499022387,0.4938893676785089,0.02158695742834979,41,29,31,32,21,41,0,0.008726794657244763,0.0017408520926813042,0.01405207967633831,0.0,0.0
CabinQuarter_B,27.335237831821228,2.136544755066371e-07,0.04724568291359444,0.17328491251510536,23,39,36,39,23,19,5,0.0015520999231561717,0.0002226461752389575,0.002365091531015117,0.0,0.015612277
CabinQuarter_C,12.017044071175501,0.0005525920408622263,0.06025854639471416,0.11587324623174683,16,36,33,38,16,15,19,0.0021437623112863387,0.0006952135268133002,0.0033649597819017107,0.02,0.009605642
CabinQuarter_D,20.930021741984948,5.444665472446875e-06,0.03589773053720196,0.15216593342783724,20,38,29,36,38,18,5,0.0022707122318068925,0.001800216698124147,0.004194674793736006,0.0,0.0071838284
CabinQuarter_E,19.430296890445565,1.1717560248704859e-05,0.03485077723514955,0.14673471898153184,18,34,22,34,25,8,9,0.0044029169875214914,0.007018030274178964,0.00704837230247733,0.0,0.023830391
CabinQuarter_F,3.0500461124923044,0.08108257240826021,0.014473491014714804,0.05867107915597122,27,40,38,40,35,35,0,0.0008165526878296894,0.0,0.0018672747476659167,0.0,0.0
CabinQuarter_G,0.23685896204752224,0.6266047741882006,0.004499345654186218,0.016375943022548387,26,41,40,41,15,37,0,0.0005752017914682285,0.0,0.0008518406653131216,0.02,0.0
