,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Pclass_ordinal_encoded_target_encoded,101.41933826041942,1.1771026816830638e-22,0.46217271645460184,0.3209743425747289,77,12,19,8,39,85,0,0.01719340122332647,0.019614231194851416,0.018517455251501957,0.0,0.0
Pclass_ordinal_encoded_woe_encoded,102.74459056879637,6.462291849986325e-23,0.4020426095939867,0.32284739140911645,32,19,31,25,33,64,16,0.01983695903026745,0.015757589572646932,0.020764735050356288,0.0,0.0
Sex_male,377.07173191521395,3.212330087345546e-70,0.22858820900762872,0.5470340420684908,22,17,6,21,52,6,23,0.03355718035978939,0.013412172165794684,0.03980406523500728,0.0,0.084709436
Sex_male_catboost_encoded,369.9731796992186,3.916662125276459e-69,0.22515219568979208,0.5433932428340144,7,7,61,17,48,31,27,0.028950143206261478,0.016204580482666132,0.027990866340092048,0.0,0.0084458785
Sex_male_target_encoded,369.9985037176626,3.88177579555866e-69,0.22523457383322898,0.5434063482717442,84,11,53,26,76,72,0,0.025071339530015998,0.02053957137364053,0.01730276038212158,0.0,0.0
Sex_male_woe_encoded,371.9302926145514,1.9627022363343745e-69,0.23541954272104587,0.5444035825419696,34,4,32,10,73,35,26,0.017731138581365744,0.0025884293017978816,0.03705670131897828,0.0,0.012361092
SibSp,0.9810125492630424,0.3222202816602925,1.2212148488620767,0.033313158653605526,25,35,42,22,11,22,33,0.014234779949837482,0.0028054562481575848,0.018210435475547675,0.02,0.008128279
Title_1,361.952413272766,6.723714130580153e-68,0.22758466596444193,0.5391993532321009,51,49,87,36,58,53,1,0.025597817826160524,0.0,0.03989120738692344,0.0,0.0
Title_1_catboost_encoded,354.6932853652377,8.953633720831765e-67,0.2236944584533362,0.5353280081275353,87,42,63,49,50,86,0,0.01697169853057978,0.0,0.010498800461073385,0.0,0.0
Title_1_target_encoded,354.71891053907996,8.871937198530867e-67,0.2237829164007622,0.5353418036103624,85,30,65,39,37,83,0,0.021696985987517504,0.0005184484066615538,0.016418067830729223,0.0,0.0
Title_1_woe_encoded,356.51491983310444,4.668914341466287e-67,0.23078970995106843,0.5363063947317036,41,22,47,43,6,84,9,0.02710155726939312,0.0012599317066869285,0.02045537168398332,0.02,0.0
Title_2,388.7851189864714,5.346457943308161e-72,0.2434728207092471,0.5529017280649524,24,27,4,12,35,1,48,0.040170964931564856,0.04512851826121104,0.036531207676734234,0.0,0.2805442
Title_2_catboost_encoded,379.2026708493807,1.5204970343144682e-70,0.24629214343541378,0.5481143172222931,38,3,21,5,53,32,15,0.025451001818367732,0.11203502796844067,0.035937030018406,0.0,0.006121413
Title_2_target_encoded,379.2226384158014,1.5098868127744007e-70,0.24629679689529207,0.5481244124388649,59,9,10,2,12,58,0,0.03891502533743192,0.08071142747761596,0.03453564142467926,0.04,0.0
Title_2_woe_encoded,381.91672611949116,5.875736084435891e-71,0.2530594789689153,0.5494818752687501,10,14,1,7,28,27,12,0.03477863842082192,0.16177614117137837,0.01754798762466231,0.02,0.01965916
Title_3,0.031881509562327943,0.8583289209834342,0.024240799259472052,0.00600871003254019,33,69,12,61,18,3,18,0.0018509137257023914,0.03471517010830256,0.0033284943555223568,0.02,0.06466797
Title_3_catboost_encoded,6.383929409428702,0.011689508483978608,4.459843242598115,0.08472262420686358,35,70,71,76,24,21,18,0.0018732032072054491,0.00508569944018923,0.0018139075771931201,0.02,0.008523654
Title_3_target_encoded,6.213381513977963,0.012861076033300826,4.901438807269044,0.08359128773828244,61,65,50,70,83,57,0,0.003169164069905356,0.001974836000020703,0.0016866999801297608,0.0,0.0
Title_3_woe_encoded,2.8616597560160635,0.09106669278305574,106.60782782111596,0.056836332349573165,28,57,25,73,86,28,17,0.004025055291656856,0.003579774843039145,0.0022812219953282017,0.0,0.015317318
