index,estimator,training score,validation score,scoring,features dropped
0,lightgbm.LGBMClassifier,0.9799435028248586,0.8271186440677966,accuracy,0
1,lightgbm.LGBMClassifier,0.9799435028248586,0.8271186440677966,accuracy,1
2,lightgbm.LGBMClassifier,0.9799435028248586,0.8271186440677966,accuracy,2
3,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,3
4,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,4
5,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,5
6,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,6
7,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,7
8,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,8
9,lightgbm.LGBMClassifier,0.9785310734463277,0.8259887005649718,accuracy,9
10,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,10
11,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,11
12,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,12
13,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,13
14,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,14
15,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,15
16,lightgbm.LGBMClassifier,0.978813559322034,0.8293785310734464,accuracy,16
17,lightgbm.LGBMClassifier,0.978813559322034,0.8259887005649718,accuracy,17
18,lightgbm.LGBMClassifier,0.9779661016949153,0.8293785310734464,accuracy,18
19,lightgbm.LGBMClassifier,0.9779661016949153,0.8293785310734464,accuracy,19
20,lightgbm.LGBMClassifier,0.9782485875706215,0.8293785310734464,accuracy,20
21,lightgbm.LGBMClassifier,0.977683615819209,0.8259887005649718,accuracy,21
22,lightgbm.LGBMClassifier,0.977683615819209,0.8259887005649718,accuracy,22
23,lightgbm.LGBMClassifier,0.977683615819209,0.8259887005649718,accuracy,23
24,lightgbm.LGBMClassifier,0.9785310734463277,0.8293785310734464,accuracy,24
25,lightgbm.LGBMClassifier,0.9785310734463277,0.8293785310734464,accuracy,25
26,lightgbm.LGBMClassifier,0.977683615819209,0.8271186440677966,accuracy,26
27,lightgbm.LGBMClassifier,0.977683615819209,0.8271186440677966,accuracy,27
28,lightgbm.LGBMClassifier,0.9748587570621469,0.8214689265536723,accuracy,28
29,lightgbm.LGBMClassifier,0.9709039548022599,0.8271186440677966,accuracy,29
30,lightgbm.LGBMClassifier,0.9709039548022599,0.8271186440677966,accuracy,30
31,lightgbm.LGBMClassifier,0.9542372881355933,0.822598870056497,accuracy,31
32,lightgbm.LGBMClassifier,0.9548022598870057,0.8203389830508474,accuracy,32
33,lightgbm.LGBMClassifier,0.9556497175141244,0.8237288135593219,accuracy,33
34,lightgbm.LGBMClassifier,0.955084745762712,0.8214689265536723,accuracy,34
