,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,LGBMRegressor_feature_importance
KitchenAbvGr,32.11991731548774,1.749278201216001e-08,0.04925691378417787,0.14796343425383832,90,2
KitchenQual_ordinal_encoded,1151.7235336124756,7.79592026835151e-186,0.4364559467962958,0.6672661799257016,21,29
LandContour_Bnk,16.57448248318394,4.932810392823782e-05,0.03937201962838183,0.10685634766568826,173,0
LandContour_HLS,17.97085421189843,2.3863734858506774e-05,0.03228716750711513,0.1112130904066782,144,1
LandContour_Low,0.0005089132417753283,0.9820051009258237,0.02044098482834366,0.0005955193097513066,236,0
LandContour_Lvl,0.02140494419388429,0.8837017315654806,0.08624826813380733,0.003862138646339668,75,4
LandSlope_ordinal_encoded,0.23442632275203984,0.6283349070380582,0.06509831382456588,0.012780321119226352,137,2
LotArea,209.9168104338781,1.6842540274702724e-44,1.5401718915934262,0.3572330569328332,2,213
LotArea_binned_5,358.78481355495677,1.3574507949183018e-71,0.493487311431794,0.447230954095945,319,0
LotConfig_ordinal_encoded,3.964305352660897,0.04666404525133844,0.360302745464944,0.052487820423743586,32,18
LotFrontage,221.50980476338128,1.0664461550705254e-46,1.0125683145128368,0.3656785378376773,7,102
LotFrontage_binned_5,265.3893910637795,7.045686888111511e-55,0.503467364401112,0.3950641173559036,143,1
LotShape_ordinal_encoded,112.41878352300907,2.4358107116544686e-25,0.32297143443799886,0.2695352115523868,43,16
LowQualFinSF,6.797211927826945,0.009224673877206033,528.0,0.06866150439730355,133,1
LowQualFinSF_binned_5,,,0.0,,314,0
MSSubClass_120,14.008554912148488,0.00018916439409144884,0.05687736716628677,0.09832437481026833,316,0
MSSubClass_160,19.24385771490062,1.2344098402706142e-05,0.04191927336439434,0.1150343252735638,320,0
MSSubClass_180,17.527823562544967,3.0035436035964232e-05,0.006910515363668897,0.10985043129015327,322,0
MSSubClass_190,17.919340562821013,2.4510182829691705e-05,0.01977366246176093,0.11105554794776532,258,0
MSSubClass_20,4.559561807575311,0.03290437133142598,0.2318678876050924,0.056279046951888526,101,4
MSSubClass_30,176.27084667640202,5.003925764221342e-38,0.045081548439710226,0.3307546591950258,73,8
MSSubClass_40,0.5688485172958421,0.4508405916782219,0.0027758285959740797,0.019906105542509663,270,0
MSSubClass_45,14.55780258307647,0.00014169970513979788,0.007596239943553631,0.100214403050685,274,0
MSSubClass_50,46.206620243513065,1.5559004687971533e-11,0.08961006194281852,0.17662178903507506,118,5
MSSubClass_60,283.00878642588407,4.207851910115487e-58,0.16232301792424003,0.4058702969213864,106,2
MSSubClass_70,1.2128654421656149,0.2709500582649601,0.04001028586869827,0.029060086629290088,280,0
MSSubClass_75,0.20615342252889562,0.6498678262359191,0.009647602457954579,0.01198500255014766,284,0
MSSubClass_80,0.0032998045338931844,0.9541995709504485,0.03873278485052319,0.001516413554037151,86,2
MSSubClass_85,1.9770154895192111,0.15992166246595985,0.013724176973116788,0.03709198924227598,294,0
MSSubClass_90,19.91999659354169,8.706371589637115e-06,0.034877036894984864,0.11701056420703805,298,0
MSZoning_C (all),54.51393207908519,2.605231236355162e-13,0.006910515363668897,0.19130726790375874,302,0
MSZoning_FV,22.579511113022203,2.2184529586096023e-06,0.04255366545454193,0.1244632507525603,108,5
MSZoning_RH,7.571352608715865,0.0060049416559479415,0.011010334779844153,0.07244661269249952,306,0
MSZoning_RL,144.2393096420382,9.885578949596138e-32,0.16719863591172554,0.3022162724729121,24,21
MSZoning_RM,203.64627864311834,2.643839944148698e-43,0.1272319342324267,0.35252963486083777,48,15
MasVnrArea,328.3022754682803,3.082739117384069e-66,1.1668733779111047,0.43149280902430215,16,58
MasVnrArea_binned_5,325.54037189025286,9.525309074291827e-66,0.6389074121693836,0.43001086936345934,210,0
MasVnrType_BrkCmn,4.180270465528643,0.041079322136152285,0.009647602457954579,0.05389451803942366,187,0
MasVnrType_BrkFace,86.33999992598012,5.43801048435065e-20,0.21270827794509267,0.23822804124612124,87,8
MasVnrType_None,282.9146674137313,4.3771528730717085e-58,0.24175278176088835,0.40581391820383095,132,1
MasVnrType_Nonexistent,4.864173016012108,0.02757799822367885,0.005536160591272798,0.058122427475811894,194,0
MasVnrType_Stone,165.52855938083115,6.248581452106862e-36,0.07942007846122627,0.32159164240500737,62,12
MiscFeature_Gar2,0.006605786210484517,0.9352338035235186,0.0013898513730714603,0.00214553353451239,200,0
MiscFeature_Nonexistent,10.654891994511964,0.0011236615242983517,0.034877036894984864,0.08585037782004305,201,0
MiscFeature_Othr,5.670813831488474,0.017379222341882626,0.0013898513730714601,0.06273939348694382,202,0
MiscFeature_Shed,9.598185618646118,0.0019854942342107506,0.03163727881629216,0.08151190436744715,253,0
MiscFeature_TenC,1.0839741083293102,0.29798559501389515,0.000695409955306835,0.02747385087009924,254,0
MoSold_1,2.3281336259347447,0.12727448899067037,0.03680926929169397,0.04024630263591341,89,4
MoSold_10,1.007097784901201e-07,0.9997468371165215,0.057488514355421315,8.377411908215083e-06,78,5
MoSold_11,0.7508674738082283,0.3863465816354079,0.05009082460802075,0.02286873290976585,122,3
MoSold_12,0.478064302718083,0.4894122587121481,0.038732784850523186,0.018249243994035408,114,5
MoSold_2,0.5451672070466314,0.4604198555672231,0.03423102235433073,0.0194875136045724,123,3
MoSold_3,0.04675423430570056,0.8288413263471917,0.06772983032675067,0.005707914368537642,116,3
MoSold_4,1.7614403371053644,0.18465608141828385,0.08737274022031324,0.03501399269358454,139,1
MoSold_5,1.8043862762520966,0.17939550964370954,0.12131029569935432,0.0354377332760233,110,3
MoSold_6,0.2784039362430302,0.5978308167554024,0.14279730107328487,0.013927385942829273,98,8
MoSold_7,0.5500277025212967,0.45842773159236816,0.13585288689563862,0.01957415918455768,88,9
MoSold_8,0.6405271561067148,0.4236524439441224,0.07537256007233037,0.021122529176859695,129,3
MoSold_9,2.692633616672974,0.10103220504018419,0.04191927336439434,0.04327684659391147,195,0
Neighborhood_Blmngtn,2.509870042705047,0.11335559916741723,0.011690248134475622,0.041784980116223426,213,0
Neighborhood_Blueste,0.4767027905471333,0.49003127896125453,0.0013898513730714603,0.01822324746963978,188,0
Neighborhood_BrDale,23.459779914145262,1.4136671175879736e-06,0.011010334779844151,0.1268278815173241,174,0
Neighborhood_BrkSide,45.32307217384753,2.4088475901973756e-11,0.03809258153512232,0.17497718127019424,67,10
Neighborhood_ClearCr,5.443678724294648,0.01977682977991558,0.017094687620007855,0.06147493836604127,130,1
Neighborhood_CollgCr,22.572271444563466,2.2266983493959045e-06,0.09238492200125038,0.12444360487794225,92,3
Neighborhood_Crawfor,11.552174921960262,0.000695244080081899,0.03358403927613442,0.0893644582404665,33,18
Neighborhood_Edwards,69.72704470214181,1.5840725159286673e-16,0.06354671668194532,0.21526417840125,51,16
Neighborhood_Gilbert,10.1885517460945,0.001443781523090093,0.05133345827467628,0.0839641646245116,235,0
Neighborhood_IDOTRR,84.60666366550066,1.2437393771446602e-19,0.025085122343240986,0.23595907780973469,47,14
Neighborhood_MeadowV,33.54609142787848,8.53838524048577e-09,0.011690248134475624,0.15113921850315518,146,0
Neighborhood_Mitchel,2.358352574080458,0.12483416830283503,0.032936087660395866,0.04050623125671995,127,1
Neighborhood_NAmes,42.23149184498255,1.1156285513719535e-10,0.13110221025109825,0.1690806594297546,56,16
Neighborhood_NPkVill,1.3542952236132249,0.24472207773025034,0.006223822246241955,0.03070618659268428,244,0
Neighborhood_NWAmes,6.195872197121764,0.01291744130012862,0.04821961007647088,0.0655676654332923,125,1
Neighborhood_NoRidge,104.01017264295734,1.2586839693555908e-23,0.02640330193818889,0.2599663660334052,153,0
Neighborhood_NridgHt,217.17750433313276,7.04106441996175e-46,0.05071262571011963,0.3625593142761056,111,3
Neighborhood_OldTown,86.6161251247665,4.7670470655342725e-20,0.07127758334386616,0.23858702648030125,34,11
Neighborhood_SWISU,4.180675666853495,0.04106953169200877,0.016422522565714057,0.0538971224362704,257,0
Neighborhood_Sawyer,21.44685841998049,3.966925309285793e-06,0.047593934824203155,0.1213485303229276,112,5
Neighborhood_SawyerW,2.0410039681603123,0.15332618459313124,0.039372019628381834,0.0376866335167166,260,0
Neighborhood_Somerst,46.26770269888567,1.5096117986280172e-11,0.05565216717539101,0.1767348482423384,74,5
Neighborhood_StoneBr,54.50573650767043,2.6157193714605634e-13,0.017094687620007855,0.19129341315510184,54,14
