,f_value,p_value,variance,correlation_to_target,LGBMRegressor_rfe_rank,RandomForestRegressor_rfe_rank,GradientBoostingRegressor_rfe_rank,AdaBoostRegressor_rfe_rank,ExtraTreesRegressor_rfe_rank,LGBMRegressor_feature_importance,XGBRegressor_feature_importance,RandomForestRegressor_feature_importance,GradientBoostingRegressor_feature_importance,AdaBoostRegressor_feature_importance,ExtraTreesRegressor_feature_importance
Condition1_PosA,3.426459463297257,0.06436486862714637,0.004847530398761432,0.04880664640874127,190,253,91,96,235,0,0.005525078,3.0287429031034247e-05,8.626571254898302e-05,0.0,2.7792931858202528e-05
Condition1_PosN,5.4144471116145585,0.020109358271760275,0.011690248134475622,0.06131028340251615,192,225,167,89,210,0,0.0010482582,2.3874995498320485e-05,0.0,0.0,8.71281482934076e-05
Condition1_RRAe,2.7602126709975567,0.09685382183702596,0.007596239943553631,0.043815527242613714,193,187,65,92,187,0,0.002256128,6.024497662010222e-05,0.00016265509922524236,0.0,8.783160624846872e-05
Condition1_RRAn,0.5123941426736731,0.47422074137785253,0.017765884136759443,0.018892899093213414,208,189,168,98,233,0,0.0,3.0742118499761664e-05,0.0,0.0,6.197952386388617e-05
Condition1_RRNe,0.25104295450536473,0.6164185014794675,0.0013898513730714603,0.013225438586311353,209,275,179,99,298,0,0.0,9.517952824316569e-07,0.0,0.0,6.18128745616538e-06
Condition1_RRNn,0.8282078127092255,0.36294410145578193,0.0034673644011120747,0.024016981357257303,158,289,170,101,284,0,0.0,1.5902669590711876e-06,0.0,0.0,1.1228656172539936e-05
Condition2_Artery,2.5992178356689,0.1071363600700975,0.0013898513730714603,0.042520897754589504,197,276,125,102,272,0,0.0,1.3022605035031597e-05,0.0,0.0,2.9195206860325138e-05
Condition2_Feedr,4.714349168280286,0.030075300215610577,0.00415793166870786,0.057223274528788656,196,255,164,108,279,0,0.0032278413,3.7813677443949614e-07,0.0,0.0,3.0217318517604147e-05
Condition2_Norm,3.378323201510673,0.06626583448059707,0.009647602457954577,0.0484634171763946,205,233,122,109,234,0,0.0,4.257092085647677e-05,0.0,0.0,5.0888008532317646e-05
Condition2_PosA,2.91717577594834,0.08785741517427757,0.000695409955306835,0.04504165747366606,204,320,130,110,317,0,0.0,7.3626070978812025e-09,0.0,0.0,2.2487163588890756e-07
Condition2_PosN,4.5769371305060425,0.03257339479253508,0.000695409955306835,0.05638583722386107,207,292,175,107,312,0,0.0,2.0105656166965887e-07,0.0,0.0,1.609165769878624e-06
Condition2_RRAe,0.11878183169565189,0.7304099676372577,0.000695409955306835,0.00909768896517322,214,321,173,106,309,0,0.0,2.1193129157392696e-07,0.0,0.0,7.858721911170168e-08
Condition2_RRAn,0.23689320990896762,0.6265333899263257,0.000695409955306835,0.012847378275366408,215,298,187,116,314,0,0.0,1.3072517907361561e-08,0.0,0.0,9.431208224730575e-08
Condition2_RRNn,4.398838021495567,0.03613801769533191,0.0013898513730714603,0.05528132085569084,206,282,178,117,294,0,0.0,4.7330489420677647e-07,0.0,0.0,5.370465966374353e-06
Electrical_ordinal_encoded,150.73523135439558,5.097354161042558e-33,0.4263463519307069,0.3083131499027786,69,71,78,38,119,9,0.0018257931,0.0005148371603174393,0.00012394202291788668,0.0,0.0005331564468458944
EnclosedPorch,35.116388275737314,3.8829677657502555e-09,386.0,0.15455357728824676,17,31,70,103,52,50,0.0014292985,0.0016663424358478072,0.0007026607474752527,0.0009647041896850355,0.001157905799957004
EnclosedPorch_binned_5,,,0.0,,198,324,142,119,320,0,0.0,0.0,0.0,0.0,0.0
ExterCond_ordinal_encoded,3.141905530455525,0.07651673311290161,0.12385464382274021,0.046740751502376526,40,45,140,18,43,16,0.0033998007,0.0010751010156418188,0.0,0.004127679770595304,0.0013718302218865088
ExterQual_ordinal_encoded,1281.241205641797,4.520945434214277e-201,0.32473126715219464,0.6868015744941282,59,27,10,16,3,9,0.00028294112,0.002129220345877946,0.022829782570474442,0.008188532673268738,0.12367625328981999
Exterior1st_AsbShng,32.59813200548984,1.3751196835972055e-08,0.013724176973116791,0.1490365476778552,159,188,48,125,190,0,0.004166495,5.097734914818566e-05,0.00011736549850537401,0.0,9.846080931551149e-05
Exterior1st_AsphShn,1.6491054210075633,0.19928801916637015,0.000695409955306835,0.033880425526084765,163,301,176,128,308,0,0.0,4.513168865381725e-08,0.0,0.0,5.045901392452033e-06
Exterior1st_BrkComm,9.601238773691103,0.001982217834002,0.0013898513730714603,0.08152478153579687,243,114,42,137,70,0,0.0131579125,0.000455930223328838,0.0007101613069035305,0.0,0.001115880041066717
Exterior1st_BrkFace,0.9515206742149779,0.32949692997465796,0.03293608766039586,0.025741818596635036,49,90,46,138,85,18,0.001642755,0.0003819143909829754,0.00045030682798244875,0.0,0.0005451425097990711
Exterior1st_CBlock,1.346121912029911,0.24615022449584914,0.000695409955306835,0.030613475966017607,247,311,182,133,310,0,0.0030184144,3.3363926564090984e-08,0.0,0.0,1.0066636576566887e-05
Exterior1st_CemntBd,14.265584010502407,0.00016522872381483696,0.04001028586869827,0.0992135040226121,246,171,218,141,142,0,0.0008174934,6.42055816541556e-05,0.0,0.0,0.00040274636828148685
Exterior1st_HdBoard,9.253954206907503,0.002392506607573937,0.12869055177099512,0.08004641578276461,60,145,79,140,143,7,0.0013481276,0.00016730856030084976,0.00011533400099010581,0.0,0.00033315444183912453
Exterior1st_ImStucc,1.3460937362101275,0.24615516533656862,0.000695409955306835,0.030613155877651642,224,307,224,146,311,0,0.00035228784,3.907185240336155e-09,0.0,0.0,3.662719295255154e-08
