,f_value,p_value,variance,correlation_to_target,LGBMClassifier_rfe_rank,RandomForestClassifier_rfe_rank,GradientBoostingClassifier_rfe_rank,ExtraTreesClassifier_rfe_rank,AdaBoostClassifier_rfe_rank,XGBClassifier_rfe_rank,LGBMClassifier_feature_importance,RandomForestClassifier_feature_importance,GradientBoostingClassifier_feature_importance,ExtraTreesClassifier_feature_importance,AdaBoostClassifier_feature_importance,XGBClassifier_feature_importance
Age*YearsWithCurrManager_binned_5_catboost_encoded,48.962488564245625,4.3980742419025275e-12,4.803245092104622,0.2010788516614937,102,173,223,195,149,274,7,0.0011347896630692098,0.0,0.0022585683623817967,0.0,0.0
Age*YearsWithCurrManager_binned_5_target_encoded,48.97655664318777,4.3679102077594185e-12,4.809879307381,0.20110656878618455,385,240,233,45,148,275,0,0.0014988864447702355,0.0,0.0016623291931011652,0.0,0.0
Age*YearsWithCurrManager_binned_5_woe_encoded,50.947091245459085,1.6676964112485351e-12,4.27915880317972,0.20494567988762755,387,271,235,5,146,226,0,0.00299261172790394,0.0006420839564850803,0.002108452588077944,0.0,0.0
Age^2,14.689363929534872,0.00013354954847000921,0.5594649074697919,0.11173020133804612,395,36,102,14,144,228,0,0.003971390977520738,0.0,0.002238603741318529,0.0,0.0
Age^2_binned_5,22.34124852977494,2.561693944359572e-06,0.4898344596190408,0.13734577119700417,404,416,188,161,107,282,0,0.00047840247414378804,0.0,0.002714540343269014,0.0,0.0
Age^2_binned_5_catboost_encoded,23.67429961438845,1.2979233097329002e-06,0.3289670283628163,0.1413044589990245,113,235,245,55,109,178,8,0.002935998948018,0.0,0.0022015243137294047,0.0,0.0037816898
Age^2_binned_5_target_encoded,23.686056596177707,1.2901760474043496e-06,0.3290630112007318,0.1413388407634137,390,145,296,91,150,279,0,0.001642771585541061,0.0,0.0018065007216191591,0.0,0.0
Age^2_binned_5_woe_encoded,25.049638901576753,6.450085209691357e-07,0.300931434132005,0.14526677489591036,157,150,273,63,152,134,7,0.003808492737510337,0.0,0.0032968306382038966,0.0,0.002887781
Age_binned_5,22.34124852977494,2.561693944359572e-06,0.4898344596190408,0.13734577119700417,396,425,272,289,154,286,0,0.0014027134597324425,0.0,0.002173105937864019,0.0,0.0
Age_binned_5_catboost_encoded,23.67429961438845,1.2979233097329002e-06,0.3289670283628163,0.1413044589990245,407,177,240,117,156,287,0,0.003050435109569399,0.0,0.002659907737113518,0.0,0.0
Age_binned_5_target_encoded,23.686056596177707,1.2901760474043496e-06,0.3290630112007318,0.1413388407634137,406,192,244,149,158,294,0,0.0030797427932006405,0.0,0.002005329404152199,0.0,0.0
Age_binned_5_woe_encoded,25.049638901576753,6.450085209691357e-07,0.300931434132005,0.14526677489591036,398,207,238,29,159,295,0,0.002670832342954086,0.0,0.002144599736534146,0.0,0.0
BusinessTravel_ordinal_encoded,19.29198509017285,1.2240696237456097e-05,0.2842926689576174,0.12779381350023084,78,315,126,113,23,49,17,0.003015314992187225,0.000859655714283453,0.0032512113816635514,0.0,0.0055422173
BusinessTravel_ordinal_encoded_catboost_encoded,13.764187067912196,0.0002170481175399474,21.893829857799723,0.10819698758798275,28,103,163,76,164,40,14,0.0026642091250195167,0.004546432393072677,0.0034410153945950085,0.0,0.007975534
BusinessTravel_ordinal_encoded_target_encoded,13.77635567373824,0.00021566317694302964,22.06365324925769,0.10824424413710769,333,75,41,68,166,301,0,0.003491845425425423,0.004615416061216239,0.003128630448236255,0.0,0.0
BusinessTravel_ordinal_encoded_woe_encoded,15.44682787435545,8.986794829185183e-05,32.72589659855938,0.1145378433835487,142,112,32,30,168,13,8,0.0024625846928905417,0.006739627751688211,0.0026313622140291364,0.02,0.0074847317
DailyRate,2.6125644231972625,0.10629162868235892,0.33988920439713416,0.04736338885794054,81,52,25,260,169,59,19,0.0040081347232412325,0.009061652105453805,0.0015073638613273494,0.0,0.0042456244
DailyRate*DistanceFromHome,1.7389571388719567,0.18753085282699214,0.905555543746093,0.038655976843066105,9,24,108,141,13,125,20,0.0038912555311649537,0.0023446549093516992,0.002327886092125652,0.02,0.004145558
DailyRate*DistanceFromHome_binned_5,3.8351794560718053,0.05042657664383464,0.4997806104675193,0.05735539394738315,373,492,267,377,175,298,0,0.0004728298561649133,0.0,0.0015725502668684525,0.0,0.0
DailyRate*DistanceFromHome_binned_5_catboost_encoded,0.1227484394149612,0.7261359911504579,0.35873149819654493,0.010277369914135404,68,167,87,154,177,183,14,0.001866650681881525,0.00407838679743081,0.0017729819313353655,0.0,0.0016032727
DailyRate*DistanceFromHome_binned_5_target_encoded,0.12414883025999793,0.7246414892533475,0.3578790327756298,0.010335822751892867,376,73,297,80,179,314,0,0.0014988165476121122,0.0,0.0015572714788665428,0.0,0.0
DailyRate*DistanceFromHome_binned_5_woe_encoded,0.5323567919704766,0.46576474620725916,0.28235523746733354,0.021399265887733405,114,179,172,19,192,315,16,0.001370173618899666,0.0006136337410549286,0.0019403987843091425,0.0,0.0
DailyRate*HourlyRate,2.3250396206091266,0.12757908659386952,0.4525464555981294,0.04468667695547663,15,3,70,101,194,78,23,0.00500310012188895,0.005841861388185225,0.0016138009141393266,0.0,0.004940378
DailyRate*HourlyRate_binned_5,2.5372473594311318,0.11146044038492542,0.49956970867136663,0.04667719100418845,278,460,293,306,195,324,1,0.0007008448009467762,0.0,0.0018460765575280776,0.0,0.0
DailyRate*HourlyRate_binned_5_catboost_encoded,4.802398043182611,0.02861810808255131,0.7291339455164279,0.06415498683337477,30,118,219,44,193,63,13,0.0017210418014746592,0.0,0.0022257581725571417,0.0,0.0042445096
DailyRate*HourlyRate_binned_5_target_encoded,4.7941658143969015,0.028754600486838307,0.7276367549743383,0.06410020241542674,393,58,21,114,181,289,0,0.001951285578242106,0.0032828696706952362,0.0020009012841849874,0.0,0.0
DailyRate*HourlyRate_binned_5_woe_encoded,3.455415214727092,0.06329756501360813,0.6062049956902901,0.05445055221207583,187,134,205,204,183,115,8,0.0026799734255660663,0.0,0.0022662939068340683,0.0,0.00359082
DailyRate*MonthlyIncome,21.076824551798325,4.8923327992808395e-06,1.0768034665096373,0.13347382817728407,11,40,3,378,1,23,41,0.004284049499144191,0.018462795511252038,0.001552255609595349,0.04,0.007070187
DailyRate*MonthlyIncome_binned_5,27.06512509232741,2.3236206611926335e-07,0.49589691754939125,0.15086975968193442,423,481,328,278,196,329,0,0.0009112946751266038,0.0,0.0016365148625609646,0.0,0.0
DailyRate*MonthlyIncome_binned_5_catboost_encoded,13.518666472673551,0.0002469918520111829,0.5851085168802529,0.10723885338771023,134,253,251,372,198,93,17,0.0016643602438468096,0.0006113159735039878,0.0018818218871677996,0.0,0.0077025434
DailyRate*MonthlyIncome_binned_5_target_encoded,13.525657836910199,0.0002460840385562297,0.5850211014977715,0.10726626084607063,405,318,139,407,200,306,0,0.001726441390436472,0.00024932369911224045,0.001909835510613869,0.0,0.0
DailyRate*MonthlyIncome_binned_5_woe_encoded,14.559183814745762,0.00014297693278107578,0.5775641229865065,0.11124016529516773,247,182,310,281,201,307,2,0.0009742214066561291,0.0,0.0012386614731525866,0.0,0.0
DailyRate*MonthlyRate,1.1854934512191604,0.2764662296171885,0.5037936472022223,0.03192457254481729,4,84,346,153,38,130,13,0.002948824494838003,0.0,0.0018605011240515243,0.02,0.0042332537
DailyRate*MonthlyRate_binned_5,1.3209846259683298,0.2506519261325193,0.5001998308357246,0.03369761006399788,456,477,333,302,207,340,0,0.0007491357416993516,0.0,0.0018122930759981854,0.0,0.0
DailyRate*MonthlyRate_binned_5_catboost_encoded,6.628728611105534,0.010157574453803164,0.601932988735557,0.0753141952947663,44,30,329,179,218,146,17,0.003498831051913376,0.0010617740165835832,0.0019353202549831112,0.0,0.0028752221
